IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1531,15,28,25,6,1142400,1904845,2007,04/15/2016 08:55:02 AM,41.89494985,-87.75245447,"(41.894949853, -87.752454466)"
470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,TRUE,FALSE,432,4,10,52,24,1201505,1836439,2007,04/15/2016 08:55:02 AM,41.70593794,-87.53770702,"(41.705937942, -87.537707016)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,933,9,16,61,17,1167866,1870720,2007,04/15/2016 08:55:02 AM,41.80079654,-87.65990746,"(41.800796541, -87.659907455)"
1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1324,12,27,24,14,1166494,1904600,2007,04/15/2016 08:55:02 AM,41.89379584,-87.6639706,"(41.893795838, -87.663970595)"
460,BATTERY,SIMPLE,STREET,TRUE,FALSE,2331,19,44,6,17,1168592,1923714,2007,04/15/2016 08:55:02 AM,41.94620053,-87.65571069,"(41.946200525, -87.655710689)"
810,THEFT,OVER $500,STREET,FALSE,FALSE,1813,18,43,7,6,1173301,1912594,2007,04/15/2016 08:55:02 AM,41.91558335,-87.63873322,"(41.915583348, -87.638733223)"
910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,314,3,20,42,7,1184830,1864456,2007,04/15/2016 08:55:02 AM,41.78322606,-87.59789192,"(41.783226062, -87.597891924)"
840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,1522,15,29,25,6,1141517,1897840,2007,04/15/2016 08:55:02 AM,41.87574363,-87.75587066,"(41.875743626, -87.755870658)"
460,BATTERY,SIMPLE,GAS STATION,FALSE,FALSE,1324,12,26,24,17,1165815,1904435,2007,04/15/2016 08:55:02 AM,41.89335758,-87.66646904,"(41.893357575, -87.666469036)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,913,9,11,59,17,1162936,1881120,2007,04/15/2016 08:55:02 AM,41.82943993,-87.67769645,"(41.829439926, -87.677696454)"
430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,FALSE,FALSE,1531,15,37,25,19,1142489,1907087,2007,04/15/2016 08:55:02 AM,41.90110051,-87.7520718,"(41.901100507, -87.7520718)"
051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,TRUE,FALSE,513,5,34,49,22,1177900,1831694,2007,04/15/2016 08:55:02 AM,41.69348295,-87.624289,"(41.693482951, -87.624288995)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2233,22,34,49,17,1174867,1833603,2007,04/15/2016 08:55:02 AM,41.69878951,-87.6353368,"(41.698789509, -87.635336804)"
1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,FALSE,TRUE,1231,12,2,28,14,1166283,1894477,2007,04/15/2016 08:55:02 AM,41.86602204,-87.66503503,"(41.866022043, -87.665035028)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,FALSE,1531,15,37,25,17,1142407,1906850,2007,04/15/2016 08:55:02 AM,41.90045168,-87.75237889,"(41.900451676, -87.752378892)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,FALSE,TRUE,1332,12,2,28,17,1161304,1900968,2007,04/15/2016 08:55:02 AM,41.88393885,-87.68313278,"(41.883938847, -87.683132783)"
820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1823,18,27,8,6,1173639,1905658,2007,04/15/2016 08:55:02 AM,41.89654309,-87.6376981,"(41.896543094, -87.637698101)"
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,STREET,TRUE,FALSE,2324,19,44,6,26,1168634,1924088,2007,04/15/2016 08:55:02 AM,41.94722589,-87.65554544,"(41.947225886, -87.655545441)"
1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2234,22,34,75,14,1168736,1830497,2007,04/15/2016 08:55:02 AM,41.69040029,-87.6578748,"(41.690400294, -87.657874802)"
320,ROBBERY,STRONGARM - NO WEAPON,GAS STATION,TRUE,FALSE,412,4,8,45,3,1191018,1848019,2007,04/15/2016 08:55:02 AM,41.7379741,-87.57573578,"(41.7379741, -87.57573578)"
910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,725,7,15,67,7,1166831,1860122,2007,04/15/2016 08:55:02 AM,41.77173651,-87.66400571,"(41.771736514, -87.66400571)"
930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,935,9,11,61,7,1171731,1874755,2007,04/15/2016 08:55:02 AM,41.81178503,-87.64561484,"(41.81178503, -87.645614837)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1533,15,28,25,17,1142878,1898863,2007,04/15/2016 08:55:02 AM,41.87852563,-87.75084801,"(41.87852563, -87.750848011)"
031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,511,5,9,50,3,1183025,1838766,2007,04/15/2016 08:55:02 AM,41.71277213,-87.6053065,"(41.71277213, -87.605306501)"
1310,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,FALSE,FALSE,1231,12,2,28,14,1167922,1893721,2007,04/15/2016 08:55:02 AM,41.86391235,-87.65903996,"(41.863912347, -87.659039962)"
1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,2221,22,21,73,14,1166943,1844148,2007,04/15/2016 08:55:02 AM,41.72789922,-87.66405064,"(41.72789922, -87.664050635)"
620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,1531,15,37,25,5,1142502,1906548,2007,04/15/2016 08:55:02 AM,41.89962119,-87.75203746,"(41.899621187, -87.752037464)"
141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,STREET,TRUE,FALSE,433,4,10,55,15,1201184,1821780,2007,04/15/2016 08:55:02 AM,41.66572039,-87.53937718,"(41.66572039, -87.539377183)"
910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1233,12,25,31,7,1169528,1891517,2007,04/15/2016 08:55:02 AM,41.85782963,-87.65320854,"(41.857829626, -87.653208535)"
1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,TRUE,FALSE,1511,15,29,25,26,1138223,1903582,2007,04/15/2016 08:55:02 AM,41.8915606,-87.76782627,"(41.891560599, -87.767826268)"
910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,524,5,34,53,7,1173094,1827141,2007,04/15/2016 08:55:02 AM,41.68109602,-87.64201856,"(41.681096016, -87.642018558)"
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,723,7,6,68,18,1173179,1860946,2007,04/15/2016 08:55:02 AM,41.77385974,-87.64071173,"(41.773859741, -87.640711726)"
890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1813,18,43,7,6,1171259,1911950,2007,04/15/2016 08:55:02 AM,41.91386132,-87.64625425,"(41.913861315, -87.646254251)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2212,22,19,75,17,1166178,1831556,2007,04/15/2016 08:55:02 AM,41.69336103,-87.66720981,"(41.693361031, -87.667209811)"
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GAS STATION,FALSE,FALSE,411,4,5,43,10,1186357,1854748,2007,04/15/2016 08:55:02 AM,41.75655047,-87.59260005,"(41.756550472, -87.592600053)"
620,BURGLARY,UNLAWFUL ENTRY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,FALSE,FALSE,2012,20,40,77,5,1163888,1934916,2007,04/15/2016 08:55:02 AM,41.97704005,-87.67268354,"(41.977040052, -87.672683537)"
560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,TRUE,FALSE,413,4,7,48,23,1193360,1843756,2007,04/15/2016 08:55:02 AM,41.72621915,-87.56729444,"(41.726219145, -87.567294437)"
810,THEFT,OVER $500,STREET,FALSE,FALSE,726,7,15,67,6,1164188,1859977,2007,04/15/2016 08:55:02 AM,41.77139465,-87.67369819,"(41.77139465, -87.673698194)"
460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1212,12,27,28,17,1169076,1900199,2007,04/15/2016 08:55:02 AM,41.88166352,-87.65461567,"(41.881663524, -87.654615667)"
2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,726,7,15,67,18,1164113,1862700,2007,04/15/2016 08:55:02 AM,41.77886851,-87.67389658,"(41.778868505, -87.673896581)"
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,533,5,9,54,3,1183251,1817865,2007,04/15/2016 08:55:02 AM,41.65541167,-87.60512584,"(41.655411665, -87.605125836)"
560,ASSAULT,SIMPLE,APARTMENT,TRUE,FALSE,432,4,10,52,23,1201792,1841230,2007,04/15/2016 08:55:02 AM,41.71907755,-87.53649371,"(41.71907755, -87.536493709)"
880,THEFT,PURSE-SNATCHING,OTHER,FALSE,FALSE,1522,15,28,25,6,1139948,1899903,2007,04/15/2016 08:55:02 AM,41.88143359,-87.76158107,"(41.881433588, -87.76158107)"
460,BATTERY,SIMPLE,ALLEY,TRUE,TRUE,2232,22,34,49,17,1174689,1836596,2007,04/15/2016 08:55:02 AM,41.7070067,-87.6358998,"(41.707006698, -87.635899804)"
460,BATTERY,SIMPLE,STREET,FALSE,FALSE,1223,12,25,31,17,1164425,1890105,2007,04/15/2016 08:55:02 AM,41.85406436,-87.6719795,"(41.85406436, -87.671979501)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,433,4,10,55,17,1199430,1818506,2007,04/15/2016 08:55:02 AM,41.65678033,-87.54590552,"(41.656780333, -87.54590552)"
2027,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,713,7,15,67,18,1166724,1863986,2007,04/15/2016 08:55:02 AM,41.78234211,-87.66428774,"(41.782342108, -87.664287741)"
610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,522,5,34,53,5,1177047,1827066,2007,04/15/2016 08:55:02 AM,41.68080225,-87.62755082,"(41.680802253, -87.627550823)"
1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,TRUE,824,8,16,63,14,1159373,1865842,2007,04/15/2016 08:55:02 AM,41.78758902,-87.69118789,"(41.787589023, -87.691187885)"
460,BATTERY,SIMPLE,STREET,FALSE,FALSE,414,4,8,43,17,1189630,1852953,2007,04/15/2016 08:55:02 AM,41.75154687,-87.58066287,"(41.751546874, -87.580662868)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,932,9,16,61,17,1166893,1869984,2007,04/15/2016 08:55:02 AM,41.79879774,-87.66349681,"(41.798797735, -87.663496806)"
860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,FALSE,2011,20,40,4,6,1159409,1934581,2007,04/15/2016 08:55:02 AM,41.9762144,-87.68916408,"(41.976214404, -87.689164079)"
1661,GAMBLING,GAME/DICE,ALLEY,TRUE,FALSE,714,7,15,67,19,1165091,1863276,2007,04/15/2016 08:55:02 AM,41.78042849,-87.67029486,"(41.780428487, -87.67029486)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1532,15,28,25,17,1143701,1900224,2007,04/15/2016 08:55:02 AM,41.88224501,-87.74779199,"(41.882245013, -87.747791994)"
460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1135,11,2,28,17,1160183,1896961,2007,04/15/2016 08:55:02 AM,41.8729665,-87.68735996,"(41.872966504, -87.687359957)"
1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,FALSE,FALSE,1933,19,43,7,14,1170504,1917312,2007,04/15/2016 08:55:02 AM,41.92859147,-87.64887073,"(41.928591474, -87.648870731)"
460,BATTERY,SIMPLE,STREET,FALSE,FALSE,413,4,8,48,17,1188386,1844784,2007,04/15/2016 08:55:02 AM,41.72916011,-87.58548161,"(41.729160106, -87.58548161)"
1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,TRUE,FALSE,1312,12,32,24,17,1162019,1907970,2007,04/15/2016 08:55:02 AM,41.90313801,-87.68031154,"(41.903138006, -87.68031154)"
460,BATTERY,SIMPLE,STREET,TRUE,TRUE,1233,12,25,31,17,1169532,1891406,2007,04/15/2016 08:55:02 AM,41.85752495,-87.65319708,"(41.857524946, -87.65319708)"
920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,TRUE,FALSE,1512,15,29,25,7,1137487,1901972,2007,04/15/2016 08:55:02 AM,41.88715583,-87.77056808,"(41.887155831, -87.770568078)"
820,THEFT,$500 AND UNDER,ALLEY,FALSE,FALSE,2032,20,47,4,6,1161801,1932162,2007,04/15/2016 08:55:02 AM,41.96952687,-87.68043554,"(41.969526869, -87.680435541)"
031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,1021,10,24,29,3,1153931,1892939,2007,04/15/2016 08:55:02 AM,41.86205652,-87.71042125,"(41.862056515, -87.71042125)"
581,STALKING,AGGRAVATED,STREET,FALSE,FALSE,433,4,10,55,23,1199430,1818506,2007,04/15/2016 08:55:02 AM,41.65678033,-87.54590552,"(41.656780333, -87.54590552)"
470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,RESIDENCE,TRUE,TRUE,934,9,16,61,24,1169543,1870003,2007,04/15/2016 08:55:02 AM,41.7987928,-87.65377813,"(41.798792796, -87.653778131)"
1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,924,9,11,60,14,1167859,1883574,2007,04/15/2016 08:55:02 AM,41.83606942,-87.65956349,"(41.836069422, -87.65956349)"
460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,833,8,13,65,17,1145711,1854190,2007,04/15/2016 08:55:02 AM,41.75588303,-87.74157533,"(41.755883027, -87.741575326)"
620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,1413,14,26,22,5,1153184,1915080,2007,04/15/2016 08:55:02 AM,41.92282844,-87.71257538,"(41.922828444, -87.712575377)"
2027,NARCOTICS,POSS: CRACK,SIDEWALK,TRUE,FALSE,725,7,17,67,18,1167184,1859360,2007,04/15/2016 08:55:02 AM,41.76963794,-87.66273351,"(41.769637941, -87.662733505)"
1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,FALSE,FALSE,1324,12,26,24,14,1163444,1903767,2007,04/15/2016 08:55:02 AM,41.89157477,-87.67519567,"(41.891574768, -87.675195666)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,423,4,7,46,17,1195312,1848853,2007,04/15/2016 08:55:02 AM,41.74015786,-87.55997648,"(41.74015786, -87.559976481)"
580,STALKING,SIMPLE,RESIDENCE,FALSE,FALSE,1032,10,22,30,23,1154475,1885600,2007,04/15/2016 08:55:02 AM,41.8419066,-87.70862029,"(41.841906601, -87.708620292)"
560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,1123,11,28,27,23,1152327,1901983,2007,04/15/2016 08:55:02 AM,41.88690602,-87.71607058,"(41.886906022, -87.716070576)"
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,2211,22,19,74,18,1155563,1829784,2007,04/15/2016 08:55:02 AM,41.68871702,-87.70612122,"(41.688717021, -87.706121219)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1524,15,37,25,17,1138913,1903768,2007,04/15/2016 08:55:02 AM,41.8920585,-87.76528766,"(41.8920585, -87.765287656)"
910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2013,20,48,77,7,1166307,1936964,2007,04/15/2016 08:55:02 AM,41.98260829,-87.66372895,"(41.982608288, -87.663728954)"
1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1311,12,1,24,14,1158647,1906886,2007,04/15/2016 08:55:02 AM,41.90023319,-87.69272732,"(41.900233189, -87.692727321)"
486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,423,4,7,48,17,1194625,1843788,2007,04/15/2016 08:55:02 AM,41.72627597,-87.56265968,"(41.726275971, -87.562659678)"
810,THEFT,OVER $500,STREET,FALSE,FALSE,1923,19,32,6,6,1164692,1923589,2007,04/15/2016 08:55:02 AM,41.94594123,-87.67004931,"(41.94594123, -87.670049314)"
460,BATTERY,SIMPLE,STREET,FALSE,FALSE,915,9,16,61,17,1164242,1869899,2007,04/15/2016 08:55:02 AM,41.79862076,-87.67322102,"(41.798620761, -87.673221019)"
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,713,7,16,67,18,1167319,1866614,2007,04/15/2016 08:55:02 AM,41.78954094,-87.66203108,"(41.789540936, -87.662031076)"
