year,boro,uhf,sex,risk,hivdx,concurrent,linked30d,linked60d,linked3m,linked12m,newdx_ret,vls_6m,VLS_12m,AIDS_12m,AIDS_24m,Med_CD4,hivdx_rate,AIDSdx,PLWDHI,incare,Ret,VLtest,VLS,PLWDHI_rate,Deaths,Death_rate
2002sep,Bronx,Crotona - Tremont,All,All,236,.,.,.,.,.,.,.,.,.,.,.,.,204,.,.,.,.,.,.,160,36.9
2002sep,Bronx,Crotona - Tremont,Female,All,99,.,.,.,.,.,.,.,.,.,.,.,.,79,.,.,.,.,.,.,64,35.3
2002sep,Bronx,Crotona - Tremont,Female,Heterosexual,39,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,.,.,.,16,23.1
2002sep,Bronx,Crotona - Tremont,Female,Injection drug use history (IDU),16,.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,.,.,34,34.7
2002sep,Bronx,Crotona - Tremont,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,3.9
2002sep,Bronx,Crotona - Tremont,Female,Unknown,44,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,.,.,.,13,40.3
2002sep,Bronx,Crotona - Tremont,Male,All,137,.,.,.,.,.,.,.,.,.,.,.,.,125,.,.,.,.,.,.,96,35.2
2002sep,Bronx,Crotona - Tremont,Male,Heterosexual,17,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,3,5.9
2002sep,Bronx,Crotona - Tremont,Male,Injection drug use history (IDU),19,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,59,43.2
2002sep,Bronx,Crotona - Tremont,Male,MSM-IDU,4,.,.,.,.,.,.,.,.,.,.,.,.,6,.,.,.,.,.,.,3,8.4
2002sep,Bronx,Crotona - Tremont,Male,Men who have sex with men (MSM),36,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,.,.,.,9,25
2002sep,Bronx,Crotona - Tremont,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,Crotona - Tremont,Male,Unknown,61,.,.,.,.,.,.,.,.,.,.,.,.,53,.,.,.,.,.,.,22,44.5
2002sep,Bronx,Fordham - Bronx Park,All,All,190,.,.,.,.,.,.,.,.,.,.,.,.,185,.,.,.,.,.,.,112,34.6
2002sep,Bronx,Fordham - Bronx Park,Female,All,80,.,.,.,.,.,.,.,.,.,.,.,.,68,.,.,.,.,.,.,44,33.2
2002sep,Bronx,Fordham - Bronx Park,Female,Heterosexual,28,.,.,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,.,.,13,32.9
2002sep,Bronx,Fordham - Bronx Park,Female,Injection drug use history (IDU),7,.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,.,.,22,28.5
2002sep,Bronx,Fordham - Bronx Park,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,7.4
2002sep,Bronx,Fordham - Bronx Park,Female,Unknown,45,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,.,.,7,13.9
2002sep,Bronx,Fordham - Bronx Park,Male,All,110,.,.,.,.,.,.,.,.,.,.,.,.,117,.,.,.,.,.,.,68,33.7
2002sep,Bronx,Fordham - Bronx Park,Male,Heterosexual,13,.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,.,.,4,22.8
2002sep,Bronx,Fordham - Bronx Park,Male,Injection drug use history (IDU),16,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,.,.,42,44.4
2002sep,Bronx,Fordham - Bronx Park,Male,MSM-IDU,2,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,4,19.1
2002sep,Bronx,Fordham - Bronx Park,Male,Men who have sex with men (MSM),37,.,.,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,.,.,7,20
2002sep,Bronx,Fordham - Bronx Park,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2002sep,Bronx,Fordham - Bronx Park,Male,Unknown,42,.,.,.,.,.,.,.,.,.,.,.,.,54,.,.,.,.,.,.,11,32.7
2002sep,Bronx,High Bridge - Morrisania,All,All,259,.,.,.,.,.,.,.,.,.,.,.,.,259,.,.,.,.,.,.,199,38
2002sep,Bronx,High Bridge - Morrisania,Female,All,113,.,.,.,.,.,.,.,.,.,.,.,.,107,.,.,.,.,.,.,79,38.9
2002sep,Bronx,High Bridge - Morrisania,Female,Heterosexual,51,.,.,.,.,.,.,.,.,.,.,.,.,37,.,.,.,.,.,.,32,41
2002sep,Bronx,High Bridge - Morrisania,Female,Injection drug use history (IDU),15,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,.,37,56.1
2002sep,Bronx,High Bridge - Morrisania,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,0,0
2002sep,Bronx,High Bridge - Morrisania,Female,Unknown,47,.,.,.,.,.,.,.,.,.,.,.,.,41,.,.,.,.,.,.,10,15.2
2002sep,Bronx,High Bridge - Morrisania,Male,All,146,.,.,.,.,.,.,.,.,.,.,.,.,152,.,.,.,.,.,.,120,35.4
2002sep,Bronx,High Bridge - Morrisania,Male,Heterosexual,22,.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,.,3,8
2002sep,Bronx,High Bridge - Morrisania,Male,Injection drug use history (IDU),22,.,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,.,.,59,36.2
2002sep,Bronx,High Bridge - Morrisania,Male,MSM-IDU,3,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,9,63.5
2002sep,Bronx,High Bridge - Morrisania,Male,Men who have sex with men (MSM),27,.,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,.,16,22.7
2002sep,Bronx,High Bridge - Morrisania,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,High Bridge - Morrisania,Male,Unknown,72,.,.,.,.,.,.,.,.,.,.,.,.,60,.,.,.,.,.,.,33,45.5
2002sep,Bronx,Hunts Point - Mott Haven,All,All,154,.,.,.,.,.,.,.,.,.,.,.,.,155,.,.,.,.,.,.,97,35.2
2002sep,Bronx,Hunts Point - Mott Haven,Female,All,60,.,.,.,.,.,.,.,.,.,.,.,.,55,.,.,.,.,.,.,33,22.8
2002sep,Bronx,Hunts Point - Mott Haven,Female,Heterosexual,27,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,6,12.3
2002sep,Bronx,Hunts Point - Mott Haven,Female,Injection drug use history (IDU),15,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,.,.,23,31.9
2002sep,Bronx,Hunts Point - Mott Haven,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2002sep,Bronx,Hunts Point - Mott Haven,Female,Unknown,18,.,.,.,.,.,.,.,.,.,.,.,.,19,.,.,.,.,.,.,4,13.5
2002sep,Bronx,Hunts Point - Mott Haven,Male,All,94,.,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,64,38.9
2002sep,Bronx,Hunts Point - Mott Haven,Male,Heterosexual,10,.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,.,.,4,18.9
2002sep,Bronx,Hunts Point - Mott Haven,Male,Injection drug use history (IDU),17,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,.,.,30,39.5
2002sep,Bronx,Hunts Point - Mott Haven,Male,MSM-IDU,6,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,0,0
2002sep,Bronx,Hunts Point - Mott Haven,Male,Men who have sex with men (MSM),20,.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,.,10,61.1
2002sep,Bronx,Hunts Point - Mott Haven,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2002sep,Bronx,Hunts Point - Mott Haven,Male,Unknown,41,.,.,.,.,.,.,.,.,.,.,.,.,39,.,.,.,.,.,.,20,42.5
2002sep,Bronx,Kingsbridge - Riverdale,All,All,26,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,.,.,.,18,48.4
2002sep,Bronx,Kingsbridge - Riverdale,Female,All,7,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,4,44.5
2002sep,Bronx,Kingsbridge - Riverdale,Female,Heterosexual,3,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,1,43
2002sep,Bronx,Kingsbridge - Riverdale,Female,Injection drug use history (IDU),2,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,3,28.6
2002sep,Bronx,Kingsbridge - Riverdale,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,Kingsbridge - Riverdale,Female,Unknown,2,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,Kingsbridge - Riverdale,Male,All,19,.,.,.,.,.,.,.,.,.,.,.,.,18,.,.,.,.,.,.,14,52
2002sep,Bronx,Kingsbridge - Riverdale,Male,Heterosexual,2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,3,64.9
2002sep,Bronx,Kingsbridge - Riverdale,Male,Injection drug use history (IDU),5,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,1,3.5
2002sep,Bronx,Kingsbridge - Riverdale,Male,MSM-IDU,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2002sep,Bronx,Kingsbridge - Riverdale,Male,Men who have sex with men (MSM),8,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,5,89
2002sep,Bronx,Kingsbridge - Riverdale,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,Kingsbridge - Riverdale,Male,Unknown,4,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,5,55
2002sep,Bronx,Northeast Bronx,All,All,94,.,.,.,.,.,.,.,.,.,.,.,.,94,.,.,.,.,.,.,30,33.1
2002sep,Bronx,Northeast Bronx,Female,All,50,.,.,.,.,.,.,.,.,.,.,.,.,35,.,.,.,.,.,.,13,42.8
2002sep,Bronx,Northeast Bronx,Female,Heterosexual,25,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,8,64.1
2002sep,Bronx,Northeast Bronx,Female,Injection drug use history (IDU),6,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,0,0
2002sep,Bronx,Northeast Bronx,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,Northeast Bronx,Female,Unknown,19,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,5,35.2
2002sep,Bronx,Northeast Bronx,Male,All,44,.,.,.,.,.,.,.,.,.,.,.,.,59,.,.,.,.,.,.,17,23.6
2002sep,Bronx,Northeast Bronx,Male,Heterosexual,7,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,1,6.1
2002sep,Bronx,Northeast Bronx,Male,Injection drug use history (IDU),6,.,.,.,.,.,.,.,.,.,.,.,.,11,.,.,.,.,.,.,8,185.4
2002sep,Bronx,Northeast Bronx,Male,MSM-IDU,3,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,1,20.7
2002sep,Bronx,Northeast Bronx,Male,Men who have sex with men (MSM),7,.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,.,.,.,2,4.8
2002sep,Bronx,Northeast Bronx,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Bronx,Northeast Bronx,Male,Unknown,21,.,.,.,.,.,.,.,.,.,.,.,.,23,.,.,.,.,.,.,5,28.7
2002sep,Bronx,Pelham - Throgs Neck,All,All,177,.,.,.,.,.,.,.,.,.,.,.,.,170,.,.,.,.,.,.,100,37.7
2002sep,Bronx,Pelham - Throgs Neck,Female,All,67,.,.,.,.,.,.,.,.,.,.,.,.,74,.,.,.,.,.,.,41,40.7
2002sep,Bronx,Pelham - Throgs Neck,Female,Heterosexual,37,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,13,21.1
2002sep,Bronx,Pelham - Throgs Neck,Female,Injection drug use history (IDU),8,.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,.,.,.,18,22.8
2002sep,Bronx,Pelham - Throgs Neck,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,4.2
2002sep,Bronx,Pelham - Throgs Neck,Female,Unknown,22,.,.,.,.,.,.,.,.,.,.,.,.,26,.,.,.,.,.,.,9,57.6
2002sep,Bronx,Pelham - Throgs Neck,Male,All,110,.,.,.,.,.,.,.,.,.,.,.,.,96,.,.,.,.,.,.,59,35.7
2002sep,Bronx,Pelham - Throgs Neck,Male,Heterosexual,12,.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,.,.,.,2,49.7
2002sep,Bronx,Pelham - Throgs Neck,Male,Injection drug use history (IDU),13,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,.,.,.,31,32.6
2002sep,Bronx,Pelham - Throgs Neck,Male,MSM-IDU,0,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,2,9.6
2002sep,Bronx,Pelham - Throgs Neck,Male,Men who have sex with men (MSM),42,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,.,.,9,39
2002sep,Bronx,Pelham - Throgs Neck,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2002sep,Bronx,Pelham - Throgs Neck,Male,Unknown,43,.,.,.,.,.,.,.,.,.,.,.,.,31,.,.,.,.,.,.,14,42.3
2002sep,Brooklyn,All,All,All,1414,.,.,.,.,.,.,.,.,.,.,.,.,1355,.,.,.,.,.,.,814,35.4
2002sep,Brooklyn,All,Female,All,547,.,.,.,.,.,.,.,.,.,.,.,.,509,.,.,.,.,.,.,271,32.4
2002sep,Brooklyn,All,Female,Heterosexual,283,.,.,.,.,.,.,.,.,.,.,.,.,226,.,.,.,.,.,.,90,22.6
2002sep,Brooklyn,All,Female,Injection drug use history (IDU),68,.,.,.,.,.,.,.,.,.,.,.,.,90,.,.,.,.,.,.,100,49.4
2002sep,Brooklyn,All,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,3,3.7
2002sep,Brooklyn,All,Female,Unknown,196,.,.,.,.,.,.,.,.,.,.,.,.,188,.,.,.,.,.,.,77,34.1
2002sep,Brooklyn,All,Male,All,867,.,.,.,.,.,.,.,.,.,.,.,.,846,.,.,.,.,.,.,543,36.6
2002sep,Brooklyn,All,Male,Heterosexual,101,.,.,.,.,.,.,.,.,.,.,.,.,111,.,.,.,.,.,.,42,26.9
2002sep,Brooklyn,All,Male,Injection drug use history (IDU),92,.,.,.,.,.,.,.,.,.,.,.,.,140,.,.,.,.,.,.,221,43.6
2002sep,Brooklyn,All,Male,MSM-IDU,19,.,.,.,.,.,.,.,.,.,.,.,.,36,.,.,.,.,.,.,20,36.9
2002sep,Brooklyn,All,Male,Men who have sex with men (MSM),333,.,.,.,.,.,.,.,.,.,.,.,.,222,.,.,.,.,.,.,86,17
2002sep,Brooklyn,All,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,4,36.6
2002sep,Brooklyn,All,Male,Unknown,322,.,.,.,.,.,.,.,.,.,.,.,.,333,.,.,.,.,.,.,170,46.8
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,All,All,404,.,.,.,.,.,.,.,.,.,.,.,.,380,.,.,.,.,.,.,221,38.7
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,All,174,.,.,.,.,.,.,.,.,.,.,.,.,154,.,.,.,.,.,.,76,32.9
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,Heterosexual,92,.,.,.,.,.,.,.,.,.,.,.,.,76,.,.,.,.,.,.,27,21.8
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,Injection drug use history (IDU),21,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,.,.,.,30,45.8
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,1,5.6
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Female,Unknown,61,.,.,.,.,.,.,.,.,.,.,.,.,52,.,.,.,.,.,.,17,28.8
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,All,230,.,.,.,.,.,.,.,.,.,.,.,.,226,.,.,.,.,.,.,145,41.5
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Heterosexual,38,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,.,.,.,15,26.3
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Injection drug use history (IDU),22,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,.,.,.,58,40.2
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,MSM-IDU,8,.,.,.,.,.,.,.,.,.,.,.,.,10,.,.,.,.,.,.,4,73.5
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Men who have sex with men (MSM),81,.,.,.,.,.,.,.,.,.,.,.,.,55,.,.,.,.,.,.,16,18
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,4.4
2002sep,Brooklyn,Bedford Stuyvesant - Crown Heights,Male,Unknown,81,.,.,.,.,.,.,.,.,.,.,.,.,101,.,.,.,.,.,.,51,47.9
2002sep,Brooklyn,Bensonhurst - Bay Ridge,All,All,21,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,.,.,.,18,31.7
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Female,All,6,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,4,16.2
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Female,Heterosexual,3,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Female,Injection drug use history (IDU),2,.,.,.,.,.,.,.,.,.,.,.,.,2,.,.,.,.,.,.,3,94.2
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Female,Unknown,1,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,1,18.6
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,All,15,.,.,.,.,.,.,.,.,.,.,.,.,22,.,.,.,.,.,.,14,32.8
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,Heterosexual,2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,1,172.2
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,Injection drug use history (IDU),2,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,3,10.7
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,4,83.4
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,Men who have sex with men (MSM),7,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,4,20.6
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Bensonhurst - Bay Ridge,Male,Unknown,3,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,2,19.7
2002sep,Brooklyn,Borough Park,All,All,45,.,.,.,.,.,.,.,.,.,.,.,.,34,.,.,.,.,.,.,24,25.4
2002sep,Brooklyn,Borough Park,Female,All,16,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,10,46.6
2002sep,Brooklyn,Borough Park,Female,Heterosexual,9,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,4,14.3
2002sep,Brooklyn,Borough Park,Female,Injection drug use history (IDU),1,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,3,10.8
2002sep,Brooklyn,Borough Park,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Borough Park,Female,Unknown,6,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,3,29.7
2002sep,Brooklyn,Borough Park,Male,All,29,.,.,.,.,.,.,.,.,.,.,.,.,25,.,.,.,.,.,.,14,19.5
2002sep,Brooklyn,Borough Park,Male,Heterosexual,3,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,2,41.9
2002sep,Brooklyn,Borough Park,Male,Injection drug use history (IDU),3,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,.,.,.,7,21.9
2002sep,Brooklyn,Borough Park,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,2,76.1
2002sep,Brooklyn,Borough Park,Male,Men who have sex with men (MSM),16,.,.,.,.,.,.,.,.,.,.,.,.,7,.,.,.,.,.,.,2,8.6
2002sep,Brooklyn,Borough Park,Male,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Borough Park,Male,Unknown,6,.,.,.,.,.,.,.,.,.,.,.,.,3,.,.,.,.,.,.,1,3.5
2002sep,Brooklyn,Canarsie - Flatlands,All,All,85,.,.,.,.,.,.,.,.,.,.,.,.,65,.,.,.,.,.,.,31,31.9
2002sep,Brooklyn,Canarsie - Flatlands,Female,All,43,.,.,.,.,.,.,.,.,.,.,.,.,28,.,.,.,.,.,.,10,23.2
2002sep,Brooklyn,Canarsie - Flatlands,Female,Heterosexual,27,.,.,.,.,.,.,.,.,.,.,.,.,15,.,.,.,.,.,.,2,4.1
2002sep,Brooklyn,Canarsie - Flatlands,Female,Injection drug use history (IDU),4,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,5,27.3
2002sep,Brooklyn,Canarsie - Flatlands,Female,Perinatal,0,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Canarsie - Flatlands,Female,Unknown,12,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,3,40.7
2002sep,Brooklyn,Canarsie - Flatlands,Male,All,42,.,.,.,.,.,.,.,.,.,.,.,.,37,.,.,.,.,.,.,21,38.1
2002sep,Brooklyn,Canarsie - Flatlands,Male,Heterosexual,5,.,.,.,.,.,.,.,.,.,.,.,.,8,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Canarsie - Flatlands,Male,Injection drug use history (IDU),6,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,10,33.5
2002sep,Brooklyn,Canarsie - Flatlands,Male,MSM-IDU,1,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,0,0
2002sep,Brooklyn,Canarsie - Flatlands,Male,Men who have sex with men (MSM),12,.,.,.,.,.,.,.,.,.,.,.,.,4,.,.,.,.,.,.,4,45.7
