"1","STATE","YEAR","COLLEGES","REGULAR","DISTANCE"
"62","US-FL","2011","350511","195890","79281"
"63","US-GA","2011","320784","189159","96196"
"64","US-HI","2011","330207","192331","70532"
"65","US-IA","2011","304333","191236","60323"
"66","US-ID","2011","286093","194749","96781"
"67","US-IL","2011","343932","194658","85491"
"68","US-IN","2011","307775","195360","63869"
"69","US-KS","2011","301017","196918","61525"
"70","US-KY","2011","313617","180461","80505"
"71","US-LA","2011","335908","197956","94711"
"72","US-MA","2011","330295","180742","93081"
"73","US-MD","2011","281637","183815","60807"
"74","US-ME","2011","335455","193700","98489"
"75","US-MI","2011","322143","196296","65834"
"76","US-MN","2011","288197","190135","68348"
"77","US-MO","2011","308650","196778","70008"
"78","US-MS","2011","337419","189666","65259"
"79","US-MT","2011","298794","198186","60794"
"80","US-NC","2011","283855","191498","94670"
"81","US-ND","2011","336795","185941","69939"
"82","US-NE","2011","320974","183257","93728"
"83","US-NH","2011","326854","181727","70517"
"84","US-NJ","2011","313228","186236","93897"
"85","US-NM","2011","359639","189952","85167"
"86","US-NV","2011","325098","189907","86065"
"87","US-NY","2011","320407","188937","77709"
"88","US-OH","2011","317463","188960","76142"
"89","US-OK","2011","349779","187437","95371"
"90","US-OR","2011","346645","184344","71805"
"91","US-PA","2011","314500","183320","89187"
"92","US-RI","2011","292532","194066","94489"
"93","US-SC","2011","334154","198470","87327"
"94","US-SD","2011","336709","187366","87366"
"95","US-TN","2011","316750","182654","87157"
"96","US-TX","2011","346237","191964","64791"
"97","US-UT","2011","328011","185014","83184"
"98","US-VA","2011","289005","189042","77559"
"99","US-VT","2011","355771","180390","63148"
"100","US-WA","2011","291778","198364","67981"
"101","US-WI","2011","299153","193845","72420"
"102","US-WV","2011","354033","197760","89268"
"103","US-WY","2011","343045","184263","85559"
"104","US-AK","2012","322419","193073","80533"
"105","US-AL","2012","323417","192946","98933"
"106","US-AR","2012","295993","180270","76809"
"107","US-AZ","2012","330954","196551","68718"
"108","US-CA","2012","298828","195233","62257"
"109","US-CO","2012","355362","183002","96951"
"110","US-CT","2012","315503","184374","70799"
"111","US-DC","2012","309856","182372","65524"
"112","US-DE","2012","341769","195123","62808"
"113","US-FL","2012","280004","196926","75532"
"114","US-GA","2012","322328","195383","66762"
"115","US-HI","2012","280639","198419","71838"
"116","US-IA","2012","309418","195957","73884"
"117","US-ID","2012","340667","192774","98086"
"118","US-IL","2012","346212","192791","68181"
"119","US-IN","2012","343257","198607","69419"
"120","US-KS","2012","319189","196301","64505"
"121","US-KY","2012","346064","186581","75166"
"122","US-LA","2012","334014","181292","79367"
"123","US-MA","2012","354824","192832","75368"
"124","US-MD","2012","282529","194879","92981"
"125","US-ME","2012","301885","195952","64281"
"126","US-MI","2012","293554","183014","67028"
"127","US-MN","2012","318543","189201","60554"
"128","US-MO","2012","290807","196183","64628"
"129","US-MS","2012","325559","182163","74040"
"130","US-MT","2012","343540","191425","65282"
"131","US-NC","2012","333589","190483","98489"
"132","US-ND","2012","351468","191523","72131"
"133","US-NE","2012","357876","191581","63462"
"134","US-NH","2012","341261","191648","97784"
"135","US-NJ","2012","356728","188732","89498"
"136","US-NM","2012","292950","197315","78239"
"137","US-NV","2012","339519","199970","64971"
"138","US-NY","2012","353096","198380","69795"
"139","US-OH","2012","340166","198638","84573"
"140","US-OK","2012","289727","188977","60496"
"141","US-OR","2012","338750","182643","98453"
"142","US-PA","2012","299055","194302","72073"
"143","US-RI","2012","354303","193918","75582"
"144","US-SC","2012","331426","189278","76563"
"145","US-SD","2012","311194","194003","98012"
"146","US-TN","2012","305689","189850","62177"
"147","US-TX","2012","300885","180755","90825"
"148","US-UT","2012","308348","180200","98365"
"149","US-VA","2012","299949","196826","64321"
"150","US-VT","2012","332066","192302","64530"
"151","US-WA","2012","326014","196443","89854"
"152","US-WI","2012","312836","195194","90227"
"153","US-WV","2012","338140","184805","90861"
"154","US-WY","2012","285511","184342","95433"
"155","US-AK","2013","294213","184178","87993"
"156","US-AL","2013","322001","194525","86752"
"157","US-AR","2013","353353","191378","61796"
"158","US-AZ","2013","346381","192843","82666"
"159","US-CA","2013","322875","193515","97525"
"160","US-CO","2013","302139","193755","62876"
"161","US-CT","2013","313072","182353","88738"
"162","US-DC","2013","351205","188511","78319"
"163","US-DE","2013","354912","185323","99379"
"164","US-FL","2013","326981","196203","99841"
"165","US-GA","2013","359251","190467","66482"
"166","US-HI","2013","293984","193462","63629"
"167","US-IA","2013","339081","195703","85968"
"168","US-ID","2013","327525","197100","80685"
"169","US-IL","2013","304232","188535","85741"
"170","US-IN","2013","351507","180426","67536"
"171","US-KS","2013","352871","181633","82975"
"172","US-KY","2013","296481","184882","75571"
"173","US-LA","2013","317586","180727","75091"
"174","US-MA","2013","352766","191429","64748"
"175","US-MD","2013","308271","191150","82042"
"176","US-ME","2013","308709","198838","84254"
"177","US-MI","2013","316915","185550","75878"
"178","US-MN","2013","341189","197613","83159"
"179","US-MO","2013","301867","188493","87568"
"180","US-MS","2013","343801","191652","89036"
"181","US-MT","2013","346006","180542","68939"
"182","US-NC","2013","325563","184247","72787"
"183","US-ND","2013","349225","188265","83189"
"184","US-NE","2013","334072","186976","87546"
"185","US-NH","2013","313420","184070","84914"
"186","US-NJ","2013","301161","181081","91620"
"187","US-NM","2013","334744","191952","94413"
"188","US-NV","2013","313892","190979","71662"
"189","US-NY","2013","281892","199503","83491"
"190","US-OH","2013","299345","183032","86860"
"191","US-OK","2013","325104","183715","86224"
"192","US-OR","2013","307193","188438","60213"
"193","US-PA","2013","332834","195813","94266"
"194","US-RI","2013","331624","197291","67756"
"195","US-SC","2013","304356","189982","77759"
"196","US-SD","2013","302815","199680","84573"
"197","US-TN","2013","349005","193824","79234"
"198","US-TX","2013","305056","197843","61074"
"199","US-UT","2013","293019","183107","61412"
"200","US-VA","2013","356489","187399","92053"
"201","US-VT","2013","355440","199463","68697"
"202","US-WA","2013","297751","192920","85208"
"203","US-WI","2013","299239","180405","98239"
"204","US-WV","2013","359780","190645","67187"
"205","US-WY","2013","296493","182363","94818"
"206","US-AK","2014","303116","196390","80213"
"207","US-AL","2014","289349","198208","96347"
"208","US-AR","2014","283331","194785","81579"
"209","US-AZ","2014","285001","199565","78147"
"210","US-CA","2014","294209","182356","69448"
"211","US-CO","2014","286480","192752","77038"
"212","US-CT","2014","349804","183153","88933"
"213","US-DC","2014","341982","191086","93755"
"214","US-DE","2014","343896","180769","99508"
"215","US-FL","2014","333295","184354","60781"
"216","US-GA","2014","280817","198915","64035"
"217","US-HI","2014","301934","193187","82291"
"218","US-IA","2014","316636","185374","77479"
"219","US-ID","2014","323302","199354","62218"
"220","US-IL","2014","350423","188803","88966"
"221","US-IN","2014","328040","180109","75073"
"222","US-KS","2014","319160","194977","95334"
"223","US-KY","2014","345392","181102","77103"
"224","US-LA","2014","323372","183703","73836"
"225","US-MA","2014","355681","185165","87964"
"226","US-MD","2014","317785","198129","66696"
"227","US-ME","2014","303213","199532","64730"
"228","US-MI","2014","358885","199724","86246"
"229","US-MN","2014","314034","187685","68160"
"230","US-MO","2014","345102","191254","67842"
"231","US-MS","2014","286980","188933","76497"
"232","US-MT","2014","314006","194203","69527"
"233","US-NC","2014","332500","197035","70322"
"234","US-ND","2014","319005","185142","94886"
"235","US-NE","2014","327542","195335","67980"
"236","US-NH","2014","316983","185531","91028"
"237","US-NJ","2014","323113","187463","70191"
"238","US-NM","2014","331295","183780","81271"
"239","US-NV","2014","314583","197741","66599"
"240","US-NY","2014","340141","197703","90093"
"241","US-OH","2014","283944","189278","93506"
"242","US-OK","2014","308461","187041","68923"
"243","US-OR","2014","307373","189994","94038"
"244","US-PA","2014","315235","181586","93457"
"245","US-RI","2014","296129","188767","95072"
"246","US-SC","2014","351746","194491","94134"
"247","US-SD","2014","336551","199214","97264"
"248","US-TN","2014","352529","184257","91375"
"249","US-TX","2014","288741","192225","82035"
"250","US-UT","2014","344132","191874","70174"
"251","US-VA","2014","305323","194376","89974"
"252","US-VT","2014","301281","189137","66923"
"253","US-WA","2014","308642","183143","94776"
"254","US-WI","2014","318757","188821","88064"
"255","US-WV","2014","306651","181709","69710"
"256","US-WY","2014","312976","192448","79628"
"257","US-AK","2015","300701","194892","86335"
"258","US-AL","2015","351891","187952","60630"
"259","US-AR","2015","337561","184752","84595"
"260","US-AZ","2015","298675","199804","91900"
"261","US-CA","2015","292931","184676","85780"
"262","US-CO","2015","358518","194743","69483"
"263","US-CT","2015","329486","199307","70360"
"264","US-DC","2015","358278","193464","93225"
"265","US-DE","2015","325614","190587","97618"
"266","US-FL","2015","296478","191900","70722"
"267","US-GA","2015","310230","196261","78125"
"268","US-HI","2015","319597","193859","76417"
"269","US-IA","2015","355349","191954","94624"
"270","US-ID","2015","305908","193490","75887"
"271","US-IL","2015","334517","190805","65873"
"272","US-IN","2015","329918","189860","68144"
"273","US-KS","2015","301598","185031","87889"
"274","US-KY","2015","339910","191643","76301"
"275","US-LA","2015","353489","187256","70220"
"276","US-MA","2015","324483","190882","76315"
"277","US-MD","2015","325075","186599","76079"
"278","US-ME","2015","336554","187967","99106"
"279","US-MI","2015","344153","196588","87070"
"280","US-MN","2015","324652","199924","86373"
"281","US-MO","2015","328433","190373","75533"
"282","US-MS","2015","330472","189501","78200"
"283","US-MT","2015","314336","181651","91948"
"284","US-NC","2015","318623","198497","62482"
"285","US-ND","2015","342077","192938","81424"
"286","US-NE","2015","306249","192535","74334"
"287","US-NH","2015","318747","190542","94527"
"288","US-NJ","2015","299076","190087","79375"
"289","US-NM","2015","292157","190316","98176"
"290","US-NV","2015","359037","193609","69040"
"291","US-NY","2015","351293","187651","61546"
"292","US-OH","2015","340533","182648","82967"
"293","US-OK","2015","284320","186849","65363"
"294","US-OR","2015","317489","199177","90924"
"295","US-PA","2015","308887","186428","86141"
"296","US-RI","2015","329189","183038","71599"
"297","US-SC","2015","354157","187512","71861"
"298","US-SD","2015","305232","181509","83215"
"299","US-TN","2015","288070","187993","96992"
"300","US-TX","2015","319083","195150","64129"
"301","US-UT","2015","352226","196945","69730"
"302","US-VA","2015","292447","184130","77871"
"303","US-VT","2015","290394","180349","66933"
"304","US-WA","2015","300346","192493","88588"
"305","US-WI","2015","319984","187368","66444"
"306","US-WV","2015","298714","196735","69752"
"307","US-WY","2015","291724","189172","91547"
"308","US-AK","2016","306016","195895","97339"
"309","US-AL","2016","306941","180189","82869"
"310","US-AR","2016","346228","183657","63662"
"311","US-AZ","2016","357053","182327","83803"
"312","US-CA","2016","358155","194426","95476"
"313","US-CO","2016","298780","197375","88488"
"314","US-CT","2016","306482","185340","75016"
"315","US-DC","2016","325069","189386","80565"
"316","US-DE","2016","350999","197324","97704"
"317","US-FL","2016","304214","190959","83787"
"318","US-GA","2016","330157","188677","76614"
"319","US-HI","2016","286229","190575","77152"
"320","US-IA","2016","339814","195755","76432"
"321","US-ID","2016","352056","183177","75624"
"322","US-IL","2016","344124","183581","72535"
"323","US-IN","2016","319948","199882","75038"
"324","US-KS","2016","320577","188446","71067"
"325","US-KY","2016","287251","183409","74166"
"326","US-LA","2016","292073","185666","82921"
"327","US-MA","2016","355023","181430","99670"
"328","US-MD","2016","353635","187692","95565"
"329","US-ME","2016","306688","196245","80392"
"330","US-MI","2016","316665","200000","78744"
"331","US-MN","2016","338620","187656","99102"
"332","US-MO","2016","328608","193929","73960"
"333","US-MS","2016","359257","198717","72475"
"334","US-MT","2016","355993","188400","89006"
"335","US-NC","2016","351992","183944","69780"
"336","US-ND","2016","329752","195320","93492"
"337","US-NE","2016","308319","185840","85488"
"338","US-NH","2016","289877","192402","94026"
"339","US-NJ","2016","323518","197360","85183"
"340","US-NM","2016","354220","192011","69027"
"341","US-NV","2016","280456","180621","76211"
"342","US-NY","2016","320837","182789","84888"
"343","US-OH","2016","322044","191534","94130"
"344","US-OK","2016","287584","193743","67210"
"345","US-OR","2016","290072","187002","71650"
"346","US-PA","2016","341873","190314","66168"
"347","US-RI","2016","358176","196160","74018"
"348","US-SC","2016","293742","182980","93784"
"349","US-SD","2016","324331","183724","77560"
"350","US-TN","2016","337842","193010","94046"
"351","US-TX","2016","307607","192848","82601"
"352","US-UT","2016","303392","186724","87538"
"353","US-VA","2016","323357","194976","72381"
"354","US-VT","2016","349369","193299","84466"
"355","US-WA","2016","317117","190030","81419"
"356","US-WI","2016","341311","184457","77953"
"357","US-WV","2016","329005","181674","87240"
"358","US-WY","2016","321839","194378","66954"
